Date,Home,Opponent,Blank,Score,Blank2,Formation,Jersey,Shots,ShotsonTarget,Fouls,Corners,Offsides,Posession(%),Attendence,Season,MD,HomeDummy,For,Against,GD,win,draw,lose,result
28,,Blackburn,,02-Jan,,    4-2-3-1,NA,14,5,6,8,2,64,25059,2010-11,0,0,2,1,1,1,0,0,Win
25,home,West Brom,,02-Mar,,    4-2-3-1,NA,27,6,16,16,1,65,60025,2010-11,0,1,2,3,-1,0,0,1,Lose
03-Oct-10,,Chelsea,,0-2,,    4-2-3-1,NA,16,4,12,10,2,53,41828,2010-11,1,0,0,2,-2,0,0,1,Lose
16,home,Birminghm,,02-Jan,,    4-2-3-1,NA,20,8,17,7,3,58,60070,2010-11,0,1,2,1,1,1,0,0,Win
24,,Man City,,3-0,,    4-2-3-1,NA,14,7,12,7,2,65,47393,2010-11,0,0,3,0,3,1,0,0,Win
30,home,West Ham,,1-0,,    4-2-3-1,NA,23,10,15,7,3,66,60086,2010-11,0,1,1,0,1,1,0,0,Win
07-Nov-10,home,Newcastle,,0-1,,    4-2-3-1,NA,11,3,16,12,4,57,60059,2010-11,1,1,0,1,-1,0,0,1,Lose
20,home,Tottenham,,02-Mar,,    4-2-3-1,NA,15,4,19,2,5,61,60102,2010-11,0,1,2,3,-1,0,0,1,Lose
04-Dec-10,home,Fulham,,02-Jan,,    4-2-3-1,NA,16,7,7,3,2,55,60049,2010-11,0,1,2,1,1,1,0,0,Win
13,,Man Utd,,0-1,,    4-2-3-1,A,11,5,17,4,NA,54,75227,2010-11,0,0,0,1,-1,0,0,1,Lose
27,home,Chelsea,,03-Jan,,    4-2-3-1,NA,10,6,13,4,5,55,60112,2010-11,0,1,3,1,2,1,0,0,Win
29,,Wigan,,02-Feb,,    4-2-3-1,NA,17,6,11,4,NA,61,17014,2010-11,0,0,2,2,0,0,1,0,Draw
01-Jan-11,,Birminghm,,3-0,,    4-2-3-1,NA,19,11,9,5,NA,50,24341,2010-11,0,0,3,0,3,1,0,0,Win
5,home,Man City,,0-0,,    4-2-3-1,NA,16,5,6,7,3,62,60085,2010-11,0,1,0,0,0,0,1,0,Draw
15,,West Ham,,3-0,,    4-2-3-1,NA,21,11,8,10,2,70,32682,2010-11,0,0,3,0,3,1,0,0,Win
22,home,Wigan,,3-0,,    4-2-3-1,NA,24,12,7,8,4,NA,59552,2010-11,0,1,3,0,3,1,0,0,Win
5,,Newcastle,,04-Apr,,    4-2-3-1,NA,13,7,15,6,4,52,51561,2010-11,0,0,4,4,0,0,1,0,Draw
23,home,Stoke City,,1-0,,    4-2-3-1,NA,10,4,8,5,3,71,60041,2010-11,0,1,1,0,1,1,0,0,Win
19,,West Brom,,02-Feb,,    4-1-4-1,A,19,8,7,7,3,NA,25729,2010-11,0,0,2,2,0,0,1,0,Draw
02-Apr-11,home,Blackburn,,0-0,,    4-2-3-1,NA,22,5,11,11,2,68,60087,2010-11,0,1,0,0,0,0,1,0,Draw
20,,Tottenham,,03-Mar,,    4-2-3-1,NA,15,7,15,6,1,55,36138,2010-11,0,0,3,3,0,0,1,0,Draw
01-May-11,home,Man Utd,,1-0,,    4-1-4-1,NA,10,2,16,3,2,55,60107,2010-11,0,1,1,0,1,1,0,0,Win
8,,Stoke City,,01-Mar,,    4-1-4-1,NA,18,3,11,5,1,74,27478,2010-11,0,0,1,3,-2,0,0,1,Lose
22,,Fulham,,02-Feb,,    4-2-3-1,NA,13,5,7,3,2,69,25674,2010-11,0,0,2,2,0,0,1,0,Draw
29,,Man Utd,,01-Feb,,    4-2-3-1,NA,12,3,16,5,4,49,75095,2009-10,1,0,1,2,-1,0,0,1,Lose
12-Sep-09,,Man City,,02-Apr,,    4-3-3,NA,23,7,12,12,2,60,47339,2009-10,0,0,2,4,-2,0,0,1,Lose
19,home,Wigan,,4-0,,    4-3-3,NA,26,9,8,6,2,62,59103,2009-10,0,1,4,0,4,1,0,0,Win
26,,Fulham,,1-0,,    4-3-3,NA,16,4,13,6,2,51,25700,2009-10,0,0,1,0,1,1,0,0,Win
04-Oct-09,home,Blackburn,,06-Feb,,    4-3-3,NA,22,15,11,8,4,65,59431,2009-10,0,1,6,2,4,1,0,0,Win
17,home,Birminghm,,03-Jan,,    4-3-3,NA,23,9,9,7,2,63,60082,2009-10,0,1,3,1,2,1,0,0,Win
25,,West Ham,,02-Feb,,    4-3-3,NA,17,6,16,8,2,53,34442,2009-10,0,0,2,2,0,0,1,0,Draw
31,home,Tottenham,,3-0,,    4-3-3,NA,18,10,14,6,4,52,60103,2009-10,0,1,3,0,3,1,0,0,Win
29,home,Chelsea,,0-3,,    4-3-3,NA,12,2,17,4,3,56,60067,2009-10,0,1,0,3,-3,0,0,1,Lose
05-Dec-09,home,Stoke City,,2-0,,    4-3-3,NA,15,7,4,10,1,67,60048,2009-10,0,1,2,0,2,1,0,0,Win
16,,Burnley,,01-Jan,,    4-3-3,NA,20,7,11,6,4,54,21309,2009-10,1,0,1,1,0,0,1,0,Draw
31,home,Man Utd,,01-Mar,,    4-3-3,NA,16,3,9,8,NA,53,60091,2009-10,0,1,1,3,-2,0,0,1,Lose
07-Feb-10,,Chelsea,,0-2,,    4-3-3,NA,8,6,12,8,1,54,41794,2009-10,1,0,0,2,-2,0,0,1,Lose
27,,Stoke City,,03-Jan,,    4-3-3,NA,19,6,8,6,2,65,27011,2009-10,0,0,3,1,2,1,0,0,Win
06-Mar-10,home,Burnley,,03-Jan,,    4-3-3,NA,28,10,9,8,2,66,60043,2009-10,0,1,3,1,2,1,0,0,Win
20,home,West Ham,,2-0,,    4-3-3,NA,11,4,10,4,1,56,60077,2009-10,0,1,2,0,2,1,0,0,Win
27,,Birminghm,,01-Jan,,    4-3-3,NA,15,8,14,6,2,55,27039,2009-10,0,0,1,1,0,0,1,0,Draw
14,,Tottenham,,01-Feb,,    4-2-3-1,NA,23,6,10,6,2,66,36041,2009-10,0,0,1,2,-1,0,0,1,Lose
18,,Wigan,,02-Mar,,    4-3-3,NA,12,7,16,3,2,50,22113,2009-10,0,0,2,3,-1,0,0,1,Lose
24,home,Man City,,0-0,,    4-2-3-1,NA,14,4,14,5,2,58,60086,2009-10,1,1,0,0,0,0,1,0,Draw
03-May-10,,Blackburn,,01-Feb,,    4-3-3,NA,7,3,16,8,2,70,26138,2009-10,0,0,1,2,-1,0,0,1,Lose
9,home,Fulham,,4-0,,    4-3-3,NA,18,6,13,5,6,65,60039,2009-10,0,1,4,0,4,1,0,0,Win
16-Aug-08,home,West Brom,,1-0,,    4-4-2,NA,18,6,9,7,8,62,60071,2008-9,0,1,1,0,1,1,0,0,Win
23,,Fulham,,0-1,,    4-4-2,NA,15,4,6,1,2,NA,25276,2008-9,0,0,0,1,-1,0,0,1,Lose
30,home,Newcastle,,3-0,,    4-4-2,NA,23,12,13,12,6,56,60067,2008-9,0,1,3,0,3,1,0,0,Win
13-Sep-08,,Blackburn,,4-0,,    4-4-2,NA,18,9,9,5,7,58,23041,2008-9,1,0,4,0,4,1,0,0,Win
26,,West Ham,,2-0,,    4-4-2,NA,24,6,9,9,NA,58,34802,2008-9,0,0,2,0,2,1,0,0,Win
29,home,Tottenham,,04-Apr,,    4-4-2,NA,20,9,9,8,NA,63,60043,2008-9,0,1,4,4,0,0,1,0,Draw
01-Nov-08,,Stoke City,,01-Feb,,    4-4-2,NA,14,4,8,5,NA,72,26704,2008-9,0,0,1,2,-1,0,0,1,Lose
8,home,Man Utd,,02-Jan,,    4-4-1-1,NA,15,5,18,5,1,46,60106,2008-9,0,1,2,1,1,1,0,0,Win
22,,Man City,,0-3,,    4-4-2,NA,13,4,14,3,1,66,44878,2008-9,0,0,0,3,-3,0,0,1,Lose
30,,Chelsea,,02-Jan,,    4-4-2,NA,12,7,16,2,4,40,41760,2008-9,1,0,2,1,1,1,0,0,Win
06-Dec-08,home,Wigan,,1-0,,    4-4-2,NA,13,4,14,8,1,65,59317,2008-9,0,1,1,0,1,1,0,0,Win
31,home,West Ham,,0-0,,    4-4-2,NA,22,3,13,13,1,63,60109,2008-9,0,1,0,0,0,0,1,0,Draw
08-Feb-09,,Tottenham,,0-0,,    4-4-1-1,NA,6,2,15,4,2,44,36021,2008-9,1,0,0,0,0,0,1,0,Draw
28,home,Fulham,,0-0,,    4-4-1-1,NA,19,4,6,11,1,47,60102,2008-9,0,1,0,0,0,0,1,0,Draw
03-Mar-09,,West Brom,,03-Jan,,    4-4-2,NA,17,7,14,4,1,54,26244,2008-9,0,0,3,1,2,1,0,0,Win
14,home,Blackburn,,4-0,,    4-2-3-1,NA,17,6,9,7,3,60,60091,2008-9,0,1,4,0,4,1,0,0,Win
21,,Newcastle,,03-Jan,,    4-4-2,NA,19,9,12,4,1,56,49972,2008-9,0,0,3,1,2,1,0,0,Win
04-Apr-09,home,Man City,,2-0,,    4-2-3-1,NA,22,9,11,7,5,58,60097,2008-9,0,1,2,0,2,1,0,0,Win
11,,Wigan,,04-Jan,,    4-2-3-1,NA,17,5,18,5,2,61,22954,2008-9,0,0,4,1,3,1,0,0,Win
10,home,Chelsea,,01-Apr,,    4-1-4-1,NA,11,6,19,6,1,49,60075,2008-9,0,1,1,4,-3,0,0,1,Lose
16,,Man Utd,,0-0,,    4-4-1-1,NA,14,4,18,6,NA,61,75468,2008-9,1,0,0,0,0,0,1,0,Draw
24,home,Stoke City,,04-Jan,,    4-4-1-1,NA,26,9,10,6,NA,72,60082,2008-9,0,1,4,1,3,1,0,0,Win
12-Aug-07,home,Fulham,,02-Jan,,    4-4-1-1,NA,27,12,7,14,6,67,60093,2007-8,0,1,2,1,1,1,0,0,Win
19,,Blackburn,,01-Jan,,    4-4-2,NA,12,2,15,4,2,51,24917,2007-8,0,0,1,1,0,0,1,0,Draw
25,home,Man City,,1-0,,    4-4-2,NA,25,9,11,8,3,62,60114,2007-8,0,1,1,0,1,1,0,0,Win
15,,Tottenham,,03-Jan,,    4-4-2,NA,16,8,11,4,1,56,36053,2007-8,0,0,3,1,2,1,0,0,Win
29,,West Ham,,1-0,,    4-4-2,NA,17,12,14,14,2,55,34966,2007-8,0,0,1,0,1,1,0,0,Win
03-Nov-07,home,Man Utd,,02-Feb,,    4-4-1-1,NA,17,6,15,3,2,51,60161,2007-8,0,1,2,2,0,0,1,0,Draw
24,home,Wigan,,2-0,,    4-4-2,NA,16,3,9,6,6,68,60126,2007-8,0,1,2,0,2,1,0,0,Win
5,,Newcastle,,01-Jan,,    4-4-2,NA,9,2,9,6,2,54,50305,2007-8,1,0,1,1,0,0,1,0,Draw
16,home,Chelsea,,1-0,,    4-4-1-1,NA,11,5,19,3,3,57,60139,2007-8,0,1,1,0,1,1,0,0,Win
22,home,Tottenham,,02-Jan,,    4-4-1-1,NA,10,5,10,5,4,53,60087,2007-8,0,1,2,1,1,1,0,0,Win
01-Jan-08,home,West Ham,,2-0,,    4-4-2,NA,21,13,5,5,4,57,60102,2007-8,0,1,2,0,2,1,0,0,Win
12,home,Birminghm,,01-Jan,,    4-4-2,NA,16,9,8,14,1,58,60037,2007-8,0,1,1,1,0,0,1,0,Draw
